,client_id,training_losses,training_accuracies,validation_losses,epochs_data
0,0,"[1.9123563766479492, 1.824069619178772]","[0.15, 0.625]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9123563766479492, 'accuracy': 0.15}, {'epoch': 0, 'round': 1, 'loss': 1.824069619178772, 'accuracy': 0.625}]"
1,1,"[1.9236494302749634, 1.849111795425415]","[0.17307692307692307, 0.4807692307692308]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9236494302749634, 'accuracy': 0.17307692307692307}, {'epoch': 0, 'round': 1, 'loss': 1.849111795425415, 'accuracy': 0.4807692307692308}]"
2,2,"[1.9030179977416992, 1.816319465637207]","[0.25, 0.5208333333333334]",[],"[{'epoch': 0, 'round': 0, 'loss': 1.9030179977416992, 'accuracy': 0.25}, {'epoch': 0, 'round': 1, 'loss': 1.816319465637207, 'accuracy': 0.5208333333333334}]"
