dataset,data_loading_option,model_type,num_clients,beta,hop,use_pe,fulltraining_flag,avg_global_acc_baseline_mean,avg_global_acc_baseline_std,avg_global_acc_baseline_n,avg_global_acc_candidate_mean,avg_global_acc_candidate_std,avg_global_acc_candidate_n,avg_global_acc_delta,avg_global_acc_welch_t,avg_global_acc_welch_p,avg_global_acc_cohens_d,avg_client_acc_baseline_mean,avg_client_acc_baseline_std,avg_client_acc_baseline_n,avg_client_acc_candidate_mean,avg_client_acc_candidate_std,avg_client_acc_candidate_n,avg_client_acc_delta,avg_client_acc_welch_t,avg_client_acc_welch_p,avg_client_acc_cohens_d,duration_s_baseline_mean,duration_s_baseline_std,duration_s_baseline_n,duration_s_candidate_mean,duration_s_candidate_std,duration_s_candidate_n,duration_s_delta,duration_s_welch_t,duration_s_welch_p,duration_s_cohens_d
Cora,zero_hop,GCN,10,1,1,False,False,0.777,0.015620499351813323,3,0.775,0.019157244060668033,3,-0.0020000000000000018,0.1401425507601155,0.8955814597851482,-0.11442591353812462,0.6698603123823808,0.009362206598815948,3,0.6640581018056245,0.01034994893708477,3,-0.005802210576756228,0.7200960947087159,0.51167229632187,-0.5879559992690633,51.943101008733116,0.2977592034826175,3,52.1852437655131,0.20717322224844087,3,0.24214275677998387,nan,nan,nan
Cora,zero_hop,GCN,10,10000,1,False,False,0.763,0.009000000000000008,3,0.7646666666666667,0.00763762615825974,3,0.0016666666666667052,-0.24455799402228096,0.819133910525888,0.19968076595772238,0.6048524855885066,0.013521398524831522,3,0.6053728699057047,0.010631436974747239,3,0.0005203843171981415,-0.052401639922770575,0.9608538746767386,0.042785759831948,56.02159674962362,0.3369097039747284,3,56.21336841583252,0.28613069851559947,3,0.19177166620890063,nan,nan,nan
